ID,D,R,Vobs,e_Vobs,Vgas,Vdisk,Vbul,SBdisk,SBul,Baryonic,Vdm
F583-1,35.4,15.49,86.9,5.6,39.34,17.78,0.0,0.0,0.0,43.17133308110835,43.728666918891655
F583-1,35.4,16.26,85.8,8.6,39.55,17.09,0.0,0.0,0.0,43.08445891501946,42.715541084980536
F583-4,53.3,0.22,10.7,4.9,0.47,5.59,0.0,69.18,0.0,5.6097237008608545,5.090276299139145
F583-4,53.3,0.76,24.7,4.9,1.87,17.63,0.0,60.07,0.0,17.728897314836022,6.971102685163977
F583-4,53.3,1.31,38.9,4.9,3.27,26.64,0.0,42.04,0.0,26.83994225031045,12.060057749689548
F583-4,53.3,1.94,42.7,7.89,4.87,32.27,0.0,31.07,0.0,32.63540715235525,10.064592847644754
F583-4,53.3,3.92,55.0,4.9,8.5,38.26,0.0,9.64,0.0,39.19282587413161,15.807174125868393
F583-4,53.3,4.35,57.2,4.9,9.17,38.43,0.0,8.68,0.0,39.508907856330325,17.691092143669678
F583-4,53.3,5.0,59.8,4.9,10.3,39.09,0.0,6.38,0.0,40.42422664690074,19.375773353099255
F583-4,53.3,5.05,62.5,3.43,10.4,39.06,0.0,6.2,0.0,40.42083126309997,22.07916873690003
F583-4,53.3,5.83,61.8,3.98,12.1,38.38,0.0,3.7,0.0,40.24219675912338,21.557803240876616
F583-4,53.3,6.09,64.4,4.9,12.72,38.13,0.0,3.52,0.0,40.195712457922674,24.20428754207733
F583-4,53.3,6.74,67.2,4.9,14.18,39.23,0.0,2.89,0.0,41.714089945724574,25.48591005427543
F583-4,53.3,7.29,69.9,4.9,15.33,36.96,0.0,0.0,0.0,40.0131290953357,29.886870904664306
IC2574,3.91,0.85,10.3,0.2,0.0,9.59,0.0,16.75,0.0,9.59,0.7100000000000009
IC2574,3.91,1.14,12.9,2.7,0.0,11.99,0.0,14.92,0.0,11.99,0.9100000000000001
IC2574,3.91,1.42,16.4,1.8,0.94,13.83,0.0,13.07,0.0,13.861908238045727,2.5380917619542718
IC2574,3.91,1.71,18.6,2.1,3.44,15.27,0.0,11.58,0.0,15.652683476005,2.947316523995001
IC2574,3.91,1.99,19.8,2.0,5.14,16.76,0.0,10.8,0.0,17.53046491111973,2.2695350888802714
IC2574,3.91,2.28,26.1,0.6,5.82,17.77,0.0,9.24,0.0,18.698804774637335,7.401195225362667
IC2574,3.91,2.55,27.7,2.7,6.87,18.7,0.0,8.42,0.0,19.922020479860972,7.777979520139027
IC2574,3.91,2.84,29.7,2.6,7.58,19.36,0.0,7.37,0.0,20.791007671587252,8.908992328412747
IC2574,3.91,3.13,33.0,3.4,8.21,19.89,0.0,6.93,0.0,21.517811226981244,11.482188773018756
IC2574,3.91,3.41,34.8,1.2,8.78,20.19,0.0,5.88,0.0,22.01645975174029,12.783540248259708
IC2574,3.91,3.7,35.0,0.9,8.64,20.15,0.0,5.69,0.0,21.924235448471173,13.075764551528827
IC2574,3.91,3.98,39.0,10.2,7.98,20.39,0.0,5.87,0.0,21.89594711356419,17.10405288643581
IC2574,3.91,4.26,35.9,5.4,7.97,21.28,0.0,6.08,0.0,22.723540657212734,13.176459342787265
IC2574,3.91,4.55,40.0,4.1,10.01,22.72,0.0,6.5,0.0,24.82737400531921,15.17262599468079
IC2574,3.91,4.84,38.7,1.4,11.42,24.6,0.0,5.76,0.0,27.12151175727489,11.578488242725111
IC2574,3.91,5.12,41.8,0.5,12.67,25.34,0.0,4.6,0.0,28.330981274922337,13.46901872507766
IC2574,3.91,5.41,42.9,0.4,13.13,25.74,0.0,4.3,0.0,28.895406209292158,14.00459379070784
IC2574,3.91,5.68,44.4,1.7,13.93,26.48,0.0,4.03,0.0,29.920482950647706,14.479517049352292
IC2574,3.91,5.97,46.1,1.3,14.5,27.15,0.0,3.42,0.0,30.779416823585205,15.320583176414797
IC2574,3.91,6.26,49.0,0.9,15.98,27.39,0.0,2.76,0.0,31.710763157010273,17.289236842989727
IC2574,3.91,6.54,51.9,0.6,17.58,27.31,0.0,2.14,0.0,32.47910867003588,19.42089132996412
IC2574,3.91,6.83,53.1,2.1,18.38,26.75,0.0,1.67,0.0,32.45592241795016,20.64407758204984
IC2574,3.91,7.1,54.0,0.5,19.29,26.25,0.0,1.55,0.0,32.57555218258011,21.42444781741989
IC2574,3.91,7.39,55.9,1.1,19.86,26.04,0.0,1.54,0.0,32.749064108765,23.150935891235
IC2574,3.91,7.68,58.8,3.6,21.01,25.86,0.0,1.4,0.0,33.319059110365046,25.48094088963495
IC2574,3.91,7.96,57.3,4.6,21.81,25.77,0.0,1.25,0.0,33.76046504419037,23.53953495580963
IC2574,3.91,8.25,54.0,9.0,22.49,25.57,0.0,1.12,0.0,34.0532670972992,19.946732902700802
IC2574,3.91,8.52,63.8,12.0,22.38,25.47,0.0,1.02,0.0,33.90553494637712,29.89446505362288
IC2574,3.91,8.81,60.5,6.2,22.6,25.41,0.0,0.92,0.0,34.00629500548391,26.493704994516087
