ID,D,R,Vobs,e_Vobs,Vgas,Vdisk,Vbul,SBdisk,SBul,Baryonic,Vdm,ID_R,Vbaryonic,rho_baryonic,V_MOND,V_TeVeS,V_pinning_dm,V_pinning_total,V_observed_total,Pinning_residual,MOND_residual,TeVeS_residual,Baryonic_residual
,7.5,1.54,28.9,2.74,15.22,22.44,0.0,17.21,0.0,27.1146086086449,1.7853913913550985,DDO161_1.54,27.1146086086449,1e-05,2537.3470397247593,958.5340340836987,0.027114610300384024,27.114622165947505,28.9,1.7853778340524933,-2508.447039724759,-929.6340340836987,1.7853913913550983
,7.5,2.02,32.9,2.65,18.74,24.92,0.0,11.77,0.0,31.18002565746218,1.7199743425378171,DDO161_2.02,31.18002565746218,1e-05,2907.3455247011834,1102.1915078696322,0.031180027602851473,31.18004124747306,32.9,1.7199587525269386,-2874.4455247011833,-1069.2915078696321,1.7199743425378173
,7.5,2.49,35.2,2.88,21.52,25.85,0.0,7.54,0.0,33.63529247680181,1.5647075231981944,DDO161_2.49,33.63529247680181,1e-05,3217.4991686090616,1189.4341308448454,0.03363529457538051,33.63530929444594,35.2,1.5646907055540638,-3182.299168609062,-1154.2341308448454,1.5647075231981944
,7.5,2.96,37.6,3.05,23.28,26.01,0.0,5.12,0.0,34.90671138907245,2.693288610927553,DDO161_2.96,34.90671138907245,1e-05,3489.9785815961677,1235.147175135208,0.03490671356697773,34.906728842425956,37.6,2.6932711575740456,-3452.378581596168,-1197.5471751352081,2.693288610927553
,7.5,3.43,40.6,3.68,24.59,25.36,0.0,3.64,0.0,35.32418010371932,5.27581989628068,DDO161_3.43,35.32418010371932,1e-05,3734.939584518068,1250.7883407835054,0.03532418230767138,35.32419776580716,40.6,5.275802234192838,-3694.339584518068,-1210.1883407835055,5.27581989628068
,7.5,3.9,42.7,3.25,25.62,25.01,0.0,2.55,0.0,35.80341464162322,6.896585358376782,DDO161_3.9,35.80341464162322,1e-05,3965.3958818761084,1268.4150870605247,0.03580341687547576,35.8034325433283,42.7,6.896567456671704,-3922.6958818761086,-1225.7150870605246,6.896585358376782
,7.5,4.37,45.5,2.99,26.35,24.48,0.0,1.74,0.0,35.96655251758222,9.533447482417778,DDO161_4.37,35.96655251758222,1e-05,4180.499599330205,1274.8183912373859,0.035966554761613284,35.96657050085623,45.5,9.533429499143772,-4134.999599330205,-1229.3183912373859,9.533447482417778
,7.5,4.86,48.9,1.96,27.08,23.7,0.0,1.09,0.0,35.986336295877635,12.913663704122364,DDO161_4.86,35.986336295877635,1e-05,4392.330634184999,1276.0917313622867,0.035986338541143054,35.98635428904353,48.9,12.913645710956466,-4343.430634185,-1227.1917313622866,12.913663704122364
,7.5,5.34,51.5,1.53,27.81,22.69,0.0,0.64,0.0,35.891951744088814,15.608048255911186,DDO161_5.34,35.891951744088814,1e-05,4589.479295083484,1273.2376121786376,0.035891953983465376,35.89196969006244,51.5,15.608030309937561,-4537.979295083484,-1221.7376121786376,15.608048255911186
,7.5,5.81,53.0,1.86,28.4,21.59,0.0,0.46,0.0,35.67475437897225,17.325245621027747,DDO161_5.81,35.67475437897225,1e-05,4773.70716529617,1265.9681261439675,0.0356747566047974,35.67477221634721,53.0,17.325227783652792,-4720.70716529617,-1212.9681261439675,17.325245621027747
,7.5,6.28,55.0,1.48,28.98,20.86,0.0,0.36,0.0,35.70686208559918,19.293137914400823,DDO161_6.28,35.70686208559918,1e-05,4952.885623553203,1267.424953238553,0.035706864313427594,35.706879939027985,55.0,19.293120060972015,-4897.885623553203,-1212.424953238553,19.293137914400823
,7.5,6.75,57.6,0.99,29.57,20.11,0.0,0.24,0.0,35.760271251767655,21.839728748232343,DDO161_6.75,35.760271251767655,1e-05,5125.9532771963495,1269.591647321203,0.03576027348292839,35.76028913190104,57.6,21.839710868098962,-5068.353277196349,-1211.9916473212031,21.839728748232346
,7.5,7.22,59.7,1.19,30.3,19.38,0.0,0.16,0.0,35.96768549684563,23.73231450315437,DDO161_7.22,35.96768549684563,1e-05,5294.410108784547,1277.1627903405945,0.035967687740947385,35.967703480686126,59.7,23.732296519313877,-5234.710108784548,-1217.4627903405944,23.73231450315437
,7.5,7.69,60.5,1.26,31.18,18.7,0.0,0.11,0.0,36.35770069737634,24.142299302623663,DDO161_7.69,36.35770069737634,1e-05,5458.890949634367,1291.160873748065,0.036357702965811985,36.35771887622441,60.5,24.14228112377559,-5398.390949634367,-1230.660873748065,24.142299302623663
,7.5,8.16,61.8,1.33,32.06,18.06,0.0,0.07,0.0,36.79683682057468,25.00316317942532,DDO161_8.16,36.79683682057468,1e-05,5618.907295907275,1306.879797677489,0.036796839116408984,36.796855218990785,61.8,25.003144781009212,-5557.107295907274,-1245.079797677489,25.003163179425314
,7.5,8.64,62.9,1.35,32.64,17.47,0.0,0.05,0.0,37.021216889778216,25.878783110221782,DDO161_8.64,37.021216889778216,1e-05,5776.349928804521,1315.0020908063696,0.03702121919961207,37.02123540038434,62.9,25.878764599615657,-5713.449928804522,-1252.1020908063695,25.878783110221782
,7.5,9.11,63.0,2.09,33.23,16.94,0.0,0.03,0.0,37.29874662773536,25.70125337226464,DDO161_9.11,37.29874662773536,1e-05,5926.832923239865,1324.9855167256285,0.0372987489548849,37.29876527710634,63.0,25.70123472289366,-5863.832923239865,-1261.9855167256285,25.701253372264638
,7.5,9.58,64.5,2.38,33.38,16.44,0.0,0.02,0.0,37.20884303495609,27.29115696504391,DDO161_9.58,37.20884303495609,1e-05,6071.33873210843,1321.965607777886,0.03720884535649635,37.20886163937528,64.5,27.29113836062472,-6006.83873210843,-1257.465607777886,27.29115696504391
,7.5,10.05,65.6,1.08,33.38,15.98,0.0,0.02,0.0,37.007901858927376,28.59209814107262,DDO161_10.05,37.007901858927376,1e-05,6211.8229852435425,1315.0010906892096,0.037007904167930476,37.007920362875986,65.6,28.59207963712401,-6146.222985243542,-1249.4010906892097,28.59209814107262
,7.5,10.52,67.5,3.22,32.79,15.57,0.0,0.01,0.0,36.29888428037424,31.20111571962576,DDO161_10.52,36.29888428037424,1e-05,6346.280249090801,1290.0376941295492,0.0362988865451402,36.298902429814106,67.5,31.201097570185894,-6278.780249090801,-1222.5376941295492,31.20111571962576
,7.5,10.99,66.8,2.37,32.06,15.18,0.0,0.01,0.0,35.47218628728712,31.32781371271288,DDO161_10.99,35.47218628728712,1e-05,6477.379408371876,1260.877775178859,0.03547218850047361,35.47220402337804,66.8,31.327795976621957,-6410.579408371876,-1194.0777751788592,31.327813712712874
,7.5,11.46,66.8,0.95,31.18,14.81,0.0,0.0,0.0,34.518524012477705,32.28147598752229,DDO161_11.46,34.518524012477705,1e-05,6605.31607873537,1227.1901051820255,0.03451852616616314,34.51854127173755,66.8,32.28145872826245,-6538.51607873537,-1160.3901051820255,32.28147598752229
,7.5,11.94,66.6,0.96,30.3,14.47,0.0,0.0,0.0,33.57783346197309,33.0221665380269,DDO161_11.94,33.57783346197309,1e-05,6733.771521220481,1193.9338776792526,0.033577835556966806,33.57785025088772,66.6,33.02214974911227,-6667.171521220481,-1127.3338776792527,33.0221665380269
,7.5,12.41,66.8,0.99,29.42,14.16,0.0,0.0,0.0,32.650298620380184,34.14970137961981,DDO161_12.41,32.650298620380184,1e-05,6857.31390560473,1161.1163120669166,0.03265030065750299,32.65031494552745,66.8,34.14968505447255,-6790.51390560473,-1094.3163120669167,34.14970137961981
,7.5,12.9,66.3,0.74,28.69,13.86,0.0,0.0,0.0,31.86244968611171,34.43755031388829,DDO161_12.9,31.86244968611171,1e-05,6984.73304429024,1133.2335208990064,0.03186245167407892,31.862465617334557,66.3,34.43753438266544,-6918.43304429024,-1066.9335208990065,34.43755031388829
,7.5,13.37,66.1,1.31,27.81,13.59,0.0,0.0,0.0,30.952935240458213,35.14706475954178,DDO161_13.37,30.952935240458213,1e-05,7104.21481938715,1101.013786013418,0.030952937171678845,30.952950716923898,66.1,35.1470492830761,-7038.1148193871495,-1034.913786013418,35.14706475954178
,13.0,0.25,20.9,3.4,-0.22,17.33,0.0,276.94,0.0,17.33139636613276,3.5686036338672373,ESO116-G012_0.25,17.33139636613276,1e-05,1107.3289032622602,607.2538605002316,0.017331397447476096,17.33140503182986,20.9,3.5685949681701388,-1086.42890326226,-586.3538605002316,3.5686036338672373
,13.0,0.83,40.0,3.29,-1.8,34.96,0.0,168.99,0.0,35.00630800298712,4.993691997012881,ESO116-G012_0.83,35.00630800298712,1e-05,2073.426535954433,1223.05921009966,0.03500631018710645,35.00632550613893,40.0,4.9936744938610715,-2033.426535954433,-1183.05921009966,4.993691997012881
,13.0,1.38,51.5,2.96,-1.55,51.34,0.0,141.01,0.0,51.36339260601854,0.1366073939814569,ESO116-G012_1.38,51.36339260601854,1e-05,2783.633255297831,1787.3072284077527,0.05136339581069179,51.36341828771163,51.5,0.13658171228836835,-2732.133255297831,-1735.8072284077527,0.13660739398145694
,13.0,1.85,67.9,3.45,5.01,61.73,0.0,81.24,0.0,61.93297183245771,5.967028167542296,ESO116-G012_1.85,61.93297183245771,1e-05,3269.0385436699885,2152.135818184022,0.061932975696589884,61.933002798939754,67.9,5.966997201060252,-3201.1385436699884,-2084.235818184022,5.967028167542296
,13.0,2.68,80.2,2.93,12.54,60.49,0.0,46.01,0.0,61.776141834854016,18.423858165145987,ESO116-G012_2.68,61.776141834854016,1e-05,3706.8676399353676,2159.4812295612046,0.06177614568920123,61.77617272292107,80.2,18.423827277078935,-3626.667639935368,-2079.281229561205,18.423858165145987
